factype,id,length,aadt,num_years,obs_kabco,obs_years,cf_total,lane_width,shld_type,shld_width,curve_radius,curve_length,spiral_transition,se_var,rhr,rumble_cl,twltl,ase,passing_lanes,lighting,dwy_density,grade,median_width,sideslope
rtl_seg,3978,0.13,1140,5,1,5,1,12,composite,2,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,3986,0.12,450,5,1,5,1,12,composite,7,0,0,0,0,3,0,0,0,0,0,8.153311423,1.5,0,8
rtl_seg,4007,0.34,3134,5,1,5,1,12,paved,8,0,0,0,0,3,0,0,0,0,0,11.73137825,1.5,0,8
rtl_seg,4022,0.6,1300,5,5,5,1,12,composite,7.5,0,0,0,0,3,0,0,0,0,0,4.995381259,1.5,0,8
rtl_seg,4024,0.18,1144,5,1,5,1,12,composite,6,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,4035,0.2,1144,5,0,5,1,12,composite,6,0,0,0,0,3,0,0,0,0,0,4.984010284,1.5,0,8
rtl_seg,4060,0.21,1090,5,0,5,1,12,composite,6,0,0,0,0,4,0,0,0,0,1,103.3379427,1.5,0,8
rtl_seg,4074,0.12,860,5,1,5,1,12,composite,1,0,0,0,0,4,0,0,0,0,0,8.237163437,1.5,0,8
rtl_seg,4079,0.22,510,5,0,5,1,12,composite,3,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,4089,0.13,510,5,0,5,1,12,composite,3,0,0,0,0,3,0,0,0,0,0,15.76659527,1.5,0,8
rtl_seg,4101,0.14,970,5,3,5,1,12,composite,2,0,0,0,0,4,0,0,0,0,0,7.251725266,1.5,0,8
rtl_seg,4134,0.36,4070,5,6,5,1,12,composite,8,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,4167,0.19,2196,5,3,5,1,12,composite,8,0,0,0,0,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,4172,0.11,1154,5,1,5,1,12,composite,7,0,0,0,0,4,0,0,0,0,0,0,1.5,0,8
rtl_seg,4177,0.19,892,5,3,5,1,12,composite,5,0,0,0,0,4,0,0,0,0,0,0,1.5,0,8
rtl_seg,4194,0.1,4260,5,2,5,1,12,composite,6,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,4196,0.3,4260,5,3,5,1,12,composite,6,0,0,0,0,2,0,0,0,0,0,6.637230059,1.5,0,8
rtl_seg,4210,0.34,1290,5,0,5,1,12,composite,5,0,0,0,0,3,0,0,0,0,0,29.54381707,1.5,0,8
rtl_seg,4230,0.12,2480,5,2,5,1,12,composite,5,0,0,0,0,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,4237,0.37,2480,5,2,5,1,12,composite,5,0,0,0,0,3,0,0,0,0,0,5.374888338,1.5,0,8
rtl_seg,4250,0.18,1334,5,0,5,1,12,composite,6,0,0,0,0,2,0,0,0,0,0,5.604066478,1.5,0,8
rtl_seg,4260,0.11,1090,5,0,5,1,12,composite,2,0,0,0,0,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,4285,0.22,580,5,3,5,1,12,paved,3,0,0,0,0,4,0,0,0,0,0,0,1.5,0,8
rtl_seg,4301,0.2,680,5,1,5,1,12,composite,2,0,0,0,0,3,0,0,0,0,0,10.24403034,1.5,0,8
rtl_seg,4322,0.23,1230,5,1,5,1,12,composite,6,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
